Tiempo (s),Q_agua (m³/d),Q_oil (m³/d),Q_gas (m³/d),Temp (°C),Presión_in (bar),Nivel_total (%),Nivel_oil (%),Presión_gas (bar),Señal_PID_valv (%),Estado
0,1902,431,3660,55.733739159464655,3.779691000272769,72.6043871468921,58.283316864433225,3.0999749158180028,29.890371102553722,Alerta
5,2159,403,2930,55.08233797718321,3.969909852161994,74.05605981673982,53.0610512281301,3.181824967207101,55.42560043585965,Alerta
10,2076,412,3259,57.446612641953124,3.0070663052197175,75.1277769865573,53.14441417279331,3.3998609717152553,47.489560319142235,Alerta
15,1850,487,4067,57.36965827544817,3.046450412719998,74.79726576701046,51.6980128451554,3.0650515929852795,53.75698018345672,Alerta
20,2187,468,5163,57.253152871382156,3.385416502539916,76.72505193569668,51.79780448730033,3.609996657782621,46.318290586564586,Alerta
25,1880,415,4385,57.650089137415925,3.311711076089411,75.95946260101472,59.55662608310488,3.184854455525527,61.936397242823176,Alerta
30,1990,397,4379,58.757995766256755,3.894827350427649,76.72693315999082,54.34273656237994,3.0884925020519196,39.90914657134893,Alerta
35,2137,490,3876,57.347004662655394,3.965255307264138,72.1250782395929,50.980085435566785,3.2962735057040824,57.21502462358646,Alerta
40,2100,444,4167,56.57952607270228,3.2934881747180382,77.19450213487553,55.35553481934668,3.6059599747810114,52.115870123260166,Alerta
45,1827,386,3000,57.49319250731023,3.330898024852649,76.56908929235816,53.64453575745869,3.325183322026747,45.896166913136994,Alerta
50,1898,423,4695,56.09888717196026,3.5612434258477013,76.0703571146067,53.83776209168263,3.848913824266084,40.6623715908795,Alerta
55,2197,482,3192,57.84265155874315,3.1108908208118313,77.0267497086412,51.2385659514555,3.8957635956735195,47.191937084732466,Alerta
60,2040,431,3820,57.03428276465881,3.907566473926093,74.43116709265298,51.00989225837133,3.7555511385430487,41.91506397106812,Alerta
65,1865,421,4397,57.533615026041694,3.8714605901877177,74.53815257949759,52.94047959246592,3.892558998489978,55.13267433113356,Alerta
70,2130,498,4296,56.272013899887455,3.110051924527677,74.79911702706902,51.07297010373576,3.8180147659224932,23.4482395243653,Alerta
75,1964,476,4057,56.350460685614514,3.942909703912519,76.31603588777753,54.42987766018951,3.7030189588951776,29.77685066804265,Alerta
80,1912,441,4320,56.015661655737375,3.2468760628386013,77.84012071274522,56.00997376140526,3.1480869299534,49.35621949199033,Alerta
85,2142,480,4559,58.63306354386661,3.2395618906669723,76.39813800342279,53.93057646058951,3.985650454110601,38.31321962380468,Alerta
90,2046,447,3002,56.47861782424562,3.242159938277426,75.47541799264145,56.80264312938725,3.983423140894843,62.1805043775651,Alerta
95,1943,476,3947,57.03279510696287,3.6958128067908818,75.01275061805971,53.16708727289725,3.2202410475655485,58.57503251588113,Alerta
100,2145,446,4334,55.90598310079175,3.64517279040945,76.90600539809746,52.17061813747745,3.3867353463005374,42.16746707663763,Alerta
105,1950,410,4434,55.9142000871892,3.174954927095936,75.23087696758864,54.0260677995331,3.260829174830409,53.77769591973092,Alerta
110,2184,427,5101,58.588863031813304,3.9004180571633302,73.03658377129908,56.38145451222728,3.3492095746126607,55.21941565616898,Alerta
115,1951,433,4496,57.568126584617154,3.0841399649950487,76.5523026797997,54.586144946597365,3.005061583846219,42.85648581973632,Alerta
120,2183,489,3137,56.94245501434491,3.4484241429862474,75.99028611069794,53.23335338746819,3.178822709221329,63.431682122967786,Alerta
125,1994,396,3439,57.27323441334189,3.0936747678280927,74.57257136677161,51.26025788656741,3.2439896433790834,42.282192505067414,Alerta
130,1837,481,3362,58.568186220708455,3.631138625997263,76.10933711708914,56.907068154314636,3.576903884626359,35.93594732818451,Alerta
135,2116,427,3458,57.28801679683673,3.768554014306309,76.05594068781038,50.433497875668955,3.883494022266259,47.568655395929845,Alerta
140,2179,484,3860,58.7132742503509,3.4281841483173143,75.26174220197733,55.554099589807215,3.3850977286019255,45.53485047932979,Alerta
145,1927,397,4616,56.57876586723789,3.8442131407263114,77.92113092198028,55.27022510180396,3.358646781296164,39.197991299595145,Alerta
150,1926,406,4209,56.290203056954404,3.8486697949246746,77.08727893834521,52.543641501273335,3.552819976907908,43.33056625043487,Alerta
155,2105,404,3324,55.32637672160096,3.0051848627739868,72.90803015416607,51.633468757091165,3.0709409169999278,54.94995654191695,Alerta
160,2199,393,3771,58.54646859580264,3.0276167718737046,73.21221918845879,58.00069617821221,3.6720261352951993,40.86587462677585,Alerta
165,1989,401,5161,58.4416184732467,3.250251360515864,75.46493365202487,50.01692442693717,3.8278690037875887,54.26025866834002,Alerta
170,1859,487,2804,56.82906064645491,3.8420230750119813,75.66762354848574,51.41756777372763,3.699512210767194,48.92805524838874,Alerta
175,2074,471,3881,55.31382552536906,3.0253507434154576,75.48589876182709,52.45636184448649,3.1732943200708457,66.61301730608155,Alerta
180,1800,490,3919,57.19690665882448,3.7145959227000622,73.97823209132991,55.83572389410955,3.954865280663194,53.77296265460409,Alerta
185,2077,472,5094,55.190864510766595,3.566037210494076,79.84436863962566,52.639991331764115,3.0941569882685602,47.36594155132727,Alerta
190,1893,489,3757,57.81463143752009,3.4741738290873254,76.54444905153423,52.13481668687784,3.4734717707805656,47.4743184860684,Alerta
195,1822,389,4581,57.540374603470575,3.0453040097720443,74.1294336360703,56.88254657813223,3.5031362585800876,35.6413784882056,Alerta
200,2056,499,4148,57.73585507759256,3.615851164389914,77.35480292947072,55.85246508577007,3.8009492946823995,57.49105676964324,Alerta
205,1832,412,3756,57.18246715726374,3.941464808776525,80.32624699137365,54.87865428020687,3.9053506419560637,48.91502111436487,Alerta
210,1843,408,2811,55.403112005509705,3.01822182565155,77.31198373547006,52.754600960358815,3.071188648460229,58.84990467186665,Alerta
215,1889,413,2914,56.1274190990936,3.1181648276216563,75.86260716937673,55.904022187693386,3.877472013527053,64.5255024746237,Alerta
220,2016,400,3475,55.70975817511889,3.7506147516408586,73.25799010946976,51.55885979143629,3.7764129607419967,55.470973811700375,Alerta
225,1836,391,4348,57.9596350417895,3.2382361524039793,76.47061469513221,55.265704874765426,3.4965611906830776,27.458413204823845,Alerta
230,2016,465,3196,58.5820929139848,3.389201678734163,76.3745857420896,52.77381063418324,3.950061967050805,50.96995964992718,Alerta
235,2166,395,3684,55.366816589033924,3.602440925901119,78.14864738420715,51.11869452238636,3.94619454288169,52.693176542525386,Alerta
240,1943,436,3862,55.364824412194764,3.4944203047025812,77.15160911638745,52.645676576975774,3.441530501373377,46.90907490803078,Alerta
245,1945,490,3753,57.472872253265045,3.1011226761227904,78.64929276941919,54.489933142217446,3.0727630063641937,44.9305682462887,Alerta
250,2082,445,4340,57.05330467476957,3.2332280724245277,79.20471825969393,54.47497050324388,3.880359968638417,52.89882811537126,Alerta
255,2100,383,4627,56.50503834212366,3.0835007166986688,76.75055008730237,54.62181513119601,3.4242220092469764,64.75356216949552,Alerta
260,2145,398,2838,56.73780737795308,3.2536821738731385,80.05416108603819,50.170185260780954,3.7409738609106684,56.47558109013714,Alerta
265,1800,382,4796,55.95002588516988,3.4002228928720246,78.28038640314304,52.30613252550467,3.5283701212972094,49.5475037626068,Alerta
270,1916,385,4905,55.04861789875927,3.969878826707639,77.69818496362083,54.02518480156359,3.0737965647353986,54.73627387727564,Alerta
275,1846,484,4349,56.17797578735772,3.9958313750293706,77.40036782254381,52.20552733727739,3.7371007058430195,65.2582995725083,Alerta
280,1811,453,3767,56.57808719443252,3.106756065935884,75.35887491798748,53.017672942501086,3.6468483616687237,36.47549445090003,Alerta
285,1827,471,3668,58.89757923066467,3.986210744479603,76.25815926113448,54.683511951554316,3.309527616286328,68.76170839215887,Alerta
